artistName,title,appleMusicID,deezerID,dateAdded,isTrack
Don't Hug Me I'm Scared,The Time Song - Single,826566065,None,2016-07-04T19:31:19Z,False
Don't Hug Me I'm Scared,The Creativity Song - Single,695781590,None,2016-07-04T19:31:18Z,False
B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Deluxe Version),368016701,None,2016-06-23T16:54:20Z,False
Caravan Palace,<º_º>,1267421240,None,2016-06-20T05:59:17Z,False
Karma Fields,Build the Cities (Reconstructions),997528252,None,2016-06-09T10:36:44Z,False
Hush,Vonk - EP,1093142759,None,2016-06-05T14:55:18Z,False
deadmau5 feat. Rob Swire,Ghosts 'n' Stuff,297640063,None,2016-04-09T16:56:40Z,False
Macklemore & Ryan Lewis,VS. Redux - EP,399139666,None,2015-11-25T02:54:16Z,False
Ramin Djawadi,Iron Man (Original Motion Picture Soundtrack),278216296,None,2014-11-10T16:14:51Z,False
Benny Benassi,Hypnotica,285865925,None,2011-07-02T18:32:35Z,False
